BearID,Capture Date,Popn,Sex,AgeClass,Mating,Denning,den_method,Lat,Long,NoCubs,CubAge,Urea Nitrogen,Creatinine
20208,2002-04-21,SB,F,A,no,yes,coy,71.46,-154.479,2,C0,10.00,1.50
20600,2003-03-28,SB,F,A,no,yes,coy,70.977,-153.5866,2,C0,12.00,1.25
20597,2003-04-02,SB,F,A,no,yes,coy,70.8392,-151.4392,2,C0,8.00,1.65
20452,2003-04-07,SB,F,A,no,yes,coy,70.5613,-148.4238,2,C0,2.00,1.10
20441,2003-04-11,SB,F,A,no,yes,coy,71.0603,-151.7005,2,C0,25.50,1.05
20230,2003-04-15,SB,F,A,no,yes,coy,70.5867,-146.9961,2,C0,1.00,0.80
20413,2003-04-28,SB,F,A,no,yes,coy,70.2335,-143.3668,2,C0,8.00,1.10
20705,2004-04-13,SB,F,A,no,yes,coy,70.8258,-145.9905,2,C0,13.50,0.95
20128,2004-04-30,SB,F,A,no,yes,coy,70.3265,-142.5413,2,C0,11.00,1.00
20465,2004-05-02,SB,F,A,no,yes,coy,71.0021,-143.489,2,C0,40.50,0.75
20769,2005-04-05,SB,F,A,no,yes,coy,71.5226,-156.4524,2,C0,34.00,0.90
20480,2005-04-12,SB,F,A,no,yes,coy,70.4097,-147.4146,2,C0,1.00,1.10
20791,2005-04-13,SB,F,A,no,yes,coy,70.555,-148.0835,2,C0,16.00,1.00
20797,2005-04-15,SB,F,A,no,yes,coy,71.2364,-155.1774,2,C0,4.50,1.20
6836,2005-04-23,SB,F,A,no,yes,coy,70.3457,-146.7075,2,C0,38.00,0.90
20840,2006-04-12,SB,F,A,no,yes,coy,70.4325,-147.2314,2,C0,27.50,0.80
20459,2007-03-30,SB,F,A,no,yes,coy,71.1869,-152.5244,2,C0,5.00,1.00
20869,2007-03-31,SB,F,A,no,yes,coy,71.1576,-153.9612,2,c0,8.00,1.35
20519,2007-04-28,SB,F,A,no,yes,coy,70.0441,-142.5135,2,C0,4.00,0.85
20905,2007-05-07,SB,F,A,no,yes,coy,70.1435,-142.8587,2,C0,16.50,0.75
20925,2008-04-09,SB,F,A,no,yes,coy,71.025,-152.9762,2,C0,5.00,1.10
20951,2008-05-10,SB,F,A,no,yes,coy,70.3098,-143.4624,2,C0,24.00,0.80
20493,2009-04-07,SB,F,A,no,yes,coy,70.1592,-143.3308,2,C0,2.50,1.60
20573,2009-04-08,SB,F,A,no,yes,coy,69.6759,-141.0362,2,C0,6.00,1.40
20840,2009-04-09,SB,F,A,no,yes,coy,70.6203,-143.393,2,C0,7.50,1.35
21016,2009-04-15,SB,F,A,no,yes,coy,69.9836,-142.3908,2,C0,4.00,1.45
20479,2009-04-27,SB,F,A,no,yes,coy,70.5437,-148.0062,2,C0,4.50,0.65
21035,2009-05-08,SB,F,A,no,yes,coy,70.7179,-147.8471,2,C0,25.00,0.70
20529,2010-04-05,SB,F,A,no,yes,coy,71.4407,-156.4665,2,C0,3.67,1.23
32366,2010-04-12,SB,F,A,no,yes,coy,70.3688,-142.7168,2,C0,3.00,1.20
20586,2010-04-14,SB,F,A,no,yes,coy,70.0784,-145.1953,2,C0,24.00,1.17
32227,2010-04-15,SB,F,A,no,yes,coy,70.0879,-141.2415,2,C0,15.00,1.00
21283,2012-03-30,SB,F,A,no,yes,coy,71.4136,-156.6287,2,C0,4.50,0.70
21309,2012-04-12,SB,F,A,no,yes,coy,70.0607,-144.3418,2,C0,14.00,0.45
21219,2012-04-22,SB,F,A,no,yes,coy,70.9501,-149.1704,2,C0,37.50,1.15
21369,2014-04-09,SB,F,A,no,yes,coy,70.4005,-148.1287,2,c0,13.00,1.40
32698,2015-04-22,SB,F,A,no,yes,coy,70.1615,-145.5815,2,c0,18.50,0.70
21080,2008-04-26,CS,F,A,no,no,NA,67.848,-166.0664,2,C1,37.00,0.55
21159,2010-03-31,CS,F,A,no,no,NA,68.13,-167.5376,2,C1,30.00,0.90
21164,2010-04-03,CS,F,A,no,no,NA,67.9876,-167.6197,2,C1,6.50,0.75
21171,2010-04-09,CS,F,A,no,no,NA,67.8402,-167.3387,2,c1,9.00,0.75
21174,2010-04-15,CS,F,A,no,no,NA,67.0222,-166.0706,2,C1,39.50,0.45
21190,2010-04-26,CS,F,A,no,no,NA,67.801,-165.4424,2,C1,30.50,0.65
21194,2010-04-29,CS,F,A,no,no,NA,67.8062,-165.508,2,C1,34.00,0.50
21197,2010-04-29,CS,F,A,no,no,NA,67.545,-165.5524,2,C1,22.50,0.55
21711,2017-03-26,CS,F,16,unknown,unknown,NA,67.5907,-166.4286,2,c1,24.50,0.55
21725,2017-03-31,CS,F,10,unknown,unknown,NA,67.5912,-166.8843,2,c1,20.50,0.80
21739,2017-04-16,CS,F,13,unknown,unknown,NA,67.0585,-165.134,2,c1,29.50,0.65
