Compound	Compound.Original.ID	m.z	RT..min.	High.Confidence.Annotation	HMDB	KEGG
taurine	TF7	126.0219	6.3	TRUE	HMDB0000251	C00245
Taurochenodesoxycholic acid	7181	498.2908	4.23	TRUE	HMDB0000951	C05465
taurocholate	6678	514.284990512705	3.65	FALSE	HMDB0000036	C05122
Taurocholic acid	5480	514.2853	2.15	FALSE	HMDB0000036	C05122
taurodeoxycholate/taurochenodeoxycholate	6305	498.290001171457	3.56	FALSE	NA	NA
Taurodeoxycholic acid	7532	498.2908	5.16	TRUE	HMDB0000896	C05463
Taurohyodeoxycholic acid/Tauroursodeoxycholic acid	5337	498.291	2.04	FALSE	NA	NA
Taurolithocholic acid	9428	482.2891	7.45	TRUE	HMDB0000722	C02592
thiamine	TF12	265.1176	9.76	TRUE	HMDB0000235	C00378
threonine	7674	120.0658	7.84	TRUE	HMDB0000167	C00188
thymidine	TF17	243.0976	3.12	TRUE	HMDB0000273	C00214
thymine	1702	125.034312509765	1.34	TRUE	HMDB0000262	C00178
thymine-d4 (IS)	1733	129.059355148032	1.35	TRUE	NA	NA
trimethylamine-N-oxide	TF16	76.0757	8.34	TRUE	HMDB0000925	C01104
tryptophan	6201	205.097	6.65	TRUE	HMDB0000929	C00078
tyrosine	6552	182.0811	6.98	TRUE	HMDB0000158	C00082
uracil	2085	111.018556495438	1.52	TRUE	HMDB0000300	C00106
urate	10266	167.019858370399	5.21	TRUE	HMDB0000289	C00366
uridine	2416	243.06179031849	1.73	TRUE	HMDB0000296	C00299
Ursodeoxycholic acid	TF4	391.2843	6.85	TRUE	HMDB0000946	C07880
valine	7215	118.0865	7.56	TRUE	HMDB0000883	C00183
valine-d8 (IS)	TF36	126.1365	7.57	TRUE	NA	NA
VMA	9339	197.044805388025	4.55	TRUE	HMDB0000291	C05584
xanthine	9993	151.024853563099	4.98	TRUE	HMDB0000292	C00385
