Sample	PGE2-d4 (IS)	12-HETE	15-HETE	5-HETE	8.11.14-Eicosatrienoic acid	9-HETE	Adrenic acid	Arachidonic acid	Cholic acid	Deoxycholic acid/Chenodeoxycholic acid	Docosahexaenoic acid	Docosapentaenoic acid	Eicosapentaenoic acid	Gamma-Linolenic acid	Glycochenodeoxycholic acid	Glycocholic acid	Glycolithocholic acid	Glycoursodeoxycholic acid	Linoleic acid	Lithocholic acid	Myristic acid	Oleic acid	Palmitic acid	Palmitoleic acid	Sphingosine 1-Phosphate	Stearic acid	Taurochenodesoxycholic acid	Taurocholic acid	Taurodeoxycholic acid	Taurohyodeoxycholic acid/Tauroursodeoxycholic acid	Taurolithocholic acid	Hyodeoxycholic acid	Myristoleic acid	PGE2	Ursodeoxycholic acid	Glycodeoxycholic acid	glycocholate-d4 (IS)	thymine-d4 (IS)	inosine-15N4 (IS)	2-hydroxyglutarate	3-methyladipate/pimelate	4-hydroxybenzaldehyde	4-pyridoxate	aconitate	adipate	alpha-hydroxybutyrate	alpha-ketoglutarate	beta-hydroxybutyrate	bilirubin	chenodeoxycholate/deoxycholate	cholate	cystathionine	fructose/glucose/galactose	fumarate/maleate	gentisate	glucuronate	glycocholate	glycodeoxycholate/glycochenodeoxycholate	guanine	guanosine	homogentisate	homovanillate	hydroxyphenylacetate	hypoxanthine	indole-3-propionate	indolelactate	indoxylsulfate	inosine	isocitrate	lactate	lactose	lithocholate	malate	nicotinate	orotate	pantothenate	pyruvate	quinolinate	sebacate	sorbitol	suberate	succinate	taurocholate	taurodeoxycholate/taurochenodeoxycholate	thymine	uracil	urate	uridine	VMA	xanthine	phenylalanine-d8 (IS)	valine-d8 (IS)	1-methylhistamine	1-methylnicotinamide	2-deoxyadenosine	2-deoxycytidine	3-hydroxyanthranilic acid	5-HIAA	5-hydroxytryptophan	acetylcholine	adenosine	ADMA	alanine	alpha-glycerophosphocholine	aminoisobutyric acid	anserine	anthranilic acid	arginine	asparagine	aspartate	beta-alanine	betaine	butyrobetaine	carnitine	C2 carnitine	C3 carnitine	C3-DC-CH3 carnitine	C4 carnitine	C4-OH carnitine	C5 carnitine	C5:1 carnitine	C5-DC carnitine	C6 carnitine	C7 carnitine	C9 carnitine	C10:2 carnitine	C12 carnitine	C12:1 carnitine	C14 carnitine	C14:1 carnitine	C14:2 carnitine	C16 carnitine	C16-OH carnitine	C18 carnitine	C18:1 carnitine	C18:1-OH carnitine	C18:2 carnitine	C20 carnitine	C20:4 carnitine	C22:6 carnitine	C24:4 carnitine	C26 carnitine	carnosine	choline	cis-trans-hydroxyproline	citrulline	cotinine	creatine	creatinine	cytosine	dimethylglycine	GABA	glutamate	glutamine	glycine	histamine	histidine	isoleucine	kynurenic acid	leucine	lysine	methionine	methionine sulfoxide	N-carbamoyl-beta-alanine	niacinamide	NMMA	ornithine	phenylalanine	pipecolic acid	proline	putrescine	pyroglutamic acid	SDMA	serine	serotonin	spermidine	taurine	thiamine	threonine	thymidine	trimethylamine-N-oxide	tryptophan	tyrosine	valine
G35892	519908	14475	17420	154575	70613	72170	458641	274883	15959039	16413639	329637	500646	492907	13588041	249215	738092	51753	161732	8317923	2448292	5293	9597071	526734	7555	220	273030	111983	98188	43086	37008	555503	4355249	NA	197961	58168930	2971062	283945	103460	31343	1748942	230683	1580018	2400518	3593	248792	217954	685626	153711	NA	22423644	12707364	NA	33714827	449761	94586	4195130	114558	70476	150357	56765	16184	2740484	49803	2424935	202002	654756	NA	62997	350699	258610	2034548	14530144	8922692	1047441	2322487	7386254	1549	20829	230456	855336	99100	31821065	83895	24130	6444797	10464647	3032336	844555	26579	8263674	19130754	15572873	2318	18274	152527	7826224	NA	151192	499174	6406701165	264789	19893260	260406606	4453	6195	29546	NA	422189	8922616	5435	7686337	718821	6406701165	1386610	7176	1073961	188	NA	127335	NA	73941	18750	73174	212926	NA	1268461	NA	NA	NA	NA	NA	12363	5994	43336	11817	3536	1323	5873	10145321	2467	215327	57265	65724	30258	20454	877266	32445	568867	461641	240133	8425	13282208	2673318	1032740	26651691	79003	1287099	845665845	112871	1054805519	6458488	369450373	37195565	63211	444294	157282	231753	9488844	642039	8179260	68524	499367	49716650	241853	344	349436252	92548140	161045974	553035	4873695	1627647	2346008	1937717	4965313
G36546	518323	1762	6582	2978	64626	2715	232398	806724	668062	804868	1062122	1046377	98717	654475	60173	192465	7085	3612	15827727	449976	18016	7545028	863073	43722	173	431210	187179	166783	25168	36844	1115859	964583	NA	387497	1457567	140959	357913	125000	44696	1197805	318537	3069920	2766430	1279	465306	385005	1820843	134531	NA	276399	641054	1044	16375072	444408	87704	2567483	27364	1504	53571	21913	18766	252231	15225	1596782	78917	19737	NA	27391	200070	203937	4241744	1124513	8334939	827367	2637085	3605273	7464	14858	294972	784616	134213	4551455	100152	41004	5616391	10831714	3311926	894262	31173	9171090	21583797	17540917	4037	11849	3969	2748704	975	145512	352378	8226120647	163577	18947438	330020041	2787	21018	NA	7281	1177670	283470	9276	5882400	447170	8226120647	1272289	14555	46971	6573	14	242292	NA	14480	13487	NA	1683984	NA	92730	NA	NA	NA	NA	NA	53967	9072	164377	55669	2405	3817	88597	547580	NA	328431	87579	4694	28976	29082	2126161	11851	78598	57231	209097	11182	32715106	3421736	1350711	35184574	620646	1222202	1040129450	614856	1223405547	10252591	477053337	39734304	39766	354874	223426	145617	11668863	1595759	10829216	50161	677963	11990578	231961	1210	2190532938	9028050	285635924	562648	4732727	1267421	2746258	2576134	4427281
G36870	538673	1111	5819	6257	140925	7022	252265	300250	21937951	70012	160227	1665780	56091	321811	318593	296631	2556	23518	6689985	5156	7358	6028769	442143	19371	180	180215	92846	34372	3597	4063	308140	484732	447	236613	9116016	NA	285967	123766	62260	791686	140665	431608	2750409	366	165330	301361	436044	160152	NA	4053678	20146713	1430	24138835	579808	160420	2863360	38700	69371	104694	29774	16650	131171	33549	479392	52069	121733	NA	22408	102408	506731	3443903	4412	2435558	755505	584123	1864788	47678	13047	200822	544676	50954	51205817	86679	19965	2027962	3563467	2293478	1496904	22588	3041958	17915325	15205239	24578	20542014	47505	16652414	3254	46994	1149917	14769779843	139400	42084846	178297520	124647	5147	24688	433	5392435	2482188	10588	41597085	330763	14769779843	1129867	30645	33673	100450	45	997923	2538	18286	24998	68737	446363	4637	621455	NA	78562	9886	1153	6622	178982	92316	257767	75223	20641	24433	59109	516176	6255	131939	47700	2615	11678	685567	870871	12937	265904	3848267	66991	9967	58312395	1826963	1244187	25923092	427862	1109755	711554438	272092	855407683	5993752	331738344	20758355	4761	377544	140357	48179	7627867	227525	19123156	337831	348738	76912879	237165	4453	1019856284	7760624	125348101	543563	4271488	2038587	2494560	1710821	5848037
G36858	507840	775	4032	2437	111806	2343	205027	613504	1731819	18074034	534678	4574104	189298	225707	78993	234830	23829	47901	5433395	1199330	2205	5327726	501595	7248	1378	117582	126537	103924	35013	58435	1186629	2066245	NA	398462	4439008	2692440	307272	111378	40048	772963	438971	364713	4590326	222	877882	41033	381046	175309	NA	13035189	6612483	98	7552698	417656	45335	2615709	25509	37516	46627	36273	9303	147618	7635	2178694	100794	46666	39471	102765	63661	153100	3621059	3867486	6832368	525679	2962692	1955563	50525	17921	159053	640050	213191	2853754	100715	49813	5524399	7956625	1016854	835788	12933	6911089	20962251	16204656	1373	122214	510163	3248787	6700	71573	1222945	12803519347	210002	10928425	288954410	243	25446	7277	14046	1831352	1814501	26748	2932505	420823	12803519347	941362	6025	19917	4580	134	443657	NA	33374	354293	14959	1811208	NA	7659	NA	NA	NA	NA	8390	25154	15777	20276	17309	2850	6590	27314	523483	17396	453152	235021	NA	3998	4262	2290415	23261	14042	16290	48524	25910	6375890	3421682	1280952	33303637	376882	1221087	1179520968	29640	1420430873	6604275	513556695	54178153	8685	843067	54926	77969	13487465	981458	9278784	254005	663160	5244135	283814	1619	870332317	3790474	352609717	698652	7777012	1931988	4035680	2988028	9313338
G35465	527793	2516	11656	6233	140247	5112	351887	1649952	26692853	8614616	1068603	795392	493699	697795	858441	1773547	4610	60742	6190747	276936	1306	3666233	385842	10062	288	268586	233483	214091	22619	13751	432962	2042556	NA	261335	24160391	1234170	280089	120560	48520	2035669	215835	2475210	2624021	345	447407	569184	1239306	159726	NA	8797926	50355435	8	15052743	577589	855125	5377621	292159	167257	441601	64770	23870	218520	35460	1654824	197508	26601	NA	51437	76391	230954	3555344	514934	7074605	1114029	2249301	7729881	7265	12930	45991	605172	89856	4181478	123378	134279	6805322	12102246	3746873	1767416	33236	8239135	19661110	14928449	3363	23500	119376	12909296	800	150815	427437	19224658173	383227	38344185	327799642	22876	10604	238230	572	661190	7859348	13841	102505617	502538	19224658173	1747921	7540	11887	NA	NA	13072	NA	36170	8844	NA	520878	NA	NA	NA	NA	NA	NA	374440	46179	NA	131213	41085	6540	2704	36085	434703	16715	347107	11817	91654	13225	64048	2280922	4242	77177	43851	865577	11572	55090533	3685817	1623621	37385154	346467	1589988	1105170613	327010	1381007817	9503482	508683939	41870448	116149	512486	182640	131587	12710128	751646	11960273	212197	706739	123827056	303225	NA	498071579	31240047	140407106	584562	11612417	1905159	3433773	2948373	7169532
G36251	562027	4076	11382	7428	342663	8367	344596	556159	14773842	92108	389977	2198720	182803	725521	203939	274706	1893	123549	3905880	117226	1914	2051198	331930	15146	159	246512	259416	722806	42596	146553	441977	NA	NA	383533	94318679	NA	279632	114915	45411	350972	264783	156365	2606662	74	432369	145708	262530	175728	437	7192417	64641626	5137	11090922	222851	43309	3985118	102408	60027	30230	11190	8598	100492	9797	2059872	48212	17728	NA	26490	51003	243453	1444159	236304	1341894	978670	968982	4974679	36549	8320	45633	465579	77284	39448836	742085	109798	4010639	8018518	1596284	315057	24240	7169481	19240995	15331820	8654	9242	118738	5456659	1566	83504	1439031	14382878128	198103	21187870	238730760	76647	5939	441	434	797758	856295	3378	4530667	375396	14382878128	3635335	10000	37352	36011	NA	760181	300	77672	32734	NA	2507992	NA	13159629	NA	5537	17551	NA	9354	286436	243419	252575	69054	24558	20013	19730	5431688	40432	232603	72721	5598	15222	170713	1580267	6350	91861	20979	106274	11934	32302291	1519441	822829	16785910	1192058	501215	866405804	52550	1038965736	3444964	407729446	27465485	65638	352931	56673	71308	9572825	567866	15486032	143463	285660	85039747	153263	8240	388574554	887326013	257700513	437272	5107034	1955391	2933694	2020533	7502660
G36309	530830	6160	13249	5969	108480	13482	194374	949814	20038713	40539	407449	2025089	129212	217454	195813	370838	1455	268850	7373361	11096	7406	10290741	538307	8649	116	243368	224039	1192188	22302	363220	104646	NA	NA	201832	90024132	NA	314566	132613	49615	519505	359346	896502	3844900	574	339492	81703	384233	81668	NA	5865264	44473601	2426	8129643	231553	20521	1825912	143712	60700	92105	8294	8537	3002127	9583	1833199	3337	389402	NA	3672	43446	155855	1618398	26251	2694486	710809	1028355	2172910	25963	21280	32338	454602	126006	73817765	423240	120653	4432657	7471611	867374	146768	35314	6339373	20609576	17436130	1629	6043	143844	5416398	4651	119865	1183205	7484323355	163933	11067696	234061579	11576	18432	25155	12779	1001578	1719179	13382	47430039	381489	7484323355	613145	82637	8414292	NA	NA	289696	NA	473732	52705	101062	256731	NA	328558	NA	3597	4999	NA	NA	75389	7390	174703	28955	285	12582	57735	828728	NA	263965	278211	296807	4819	157801	962279	16138	15583	21124	249480	7913	14498072	2568495	1299748	31179907	73780	1979260	938067934	504681	1137688474	6967296	395022024	35669186	49785	366897	48754	131758	10149455	2231824	12259755	173197	486742	19992818	295017	347	277430002	945047733	152326891	670962	5035416	2297507	3328240	2217171	5119124
G36305	542952	715	2361	1992	219920	1586	301701	324899	12951221	27086	289728	2263599	53361	382834	192509	151295	2255	147596	8107663	4626	14985	6894972	840389	12036	242	462354	162585	672966	23760	174862	103456	NA	13724	156650	58221449	NA	332401	137318	51465	10832783	150217	378927	4803681	20028	93726	320888	951626	149077	NA	2739108	20394487	31	25392764	348425	448117	7939533	60250	30090	72352	3796	23374	182553	20154	1597159	333	126690	NA	4474	288929	339307	3344075	5848	2480356	698861	464307	4760615	10863	10829	15043	462370	22546	13303043	396981	69817	4720785	6697888	887857	147587	65788	5638481	18671091	15535852	218	NA	73030	3142099	12329	43336	184435	5824368526	185819	28378084	170751918	19596	10123	1619	489	7850002	63555	20579	53487361	641104	5824368526	3136078	806	16494	30059	NA	NA	7292	19133	237640	NA	365859	254806	896220	13975	249925	212324	28327	660560	1259902	1026061	464563	508675	59252	201610	83729	546916	156380	81473	50129	158	7816	69460	919135	5008	61115	18606	113994	4912	68571664	3011300	870355	24845291	27508	1169881	629940090	1189627	784476239	4094236	285212872	19656426	160258	112409	66042	39307	7297702	196010	6845212	238338	607828	67946535	188341	NA	258945751	702759038	140515234	380241	3958467	1292051	2519984	1554200	7115546
G36267	533186	1712	9547	5025	530307	3168	561799	1298288	21228735	35997	586171	3200045	202619	105823	304901	451211	2770	7599	4605084	101761	4273	4969042	437159	9278	249	159277	366530	163493	25419	7273	176851	896405	NA	213738	1894587	NA	290171	125277	62630	424378	222427	384100	7784904	NA	611950	85989	312475	195685	NA	2599958	22370268	1057	8729183	204655	51117	844979	100030	66007	23123	6740	13196	65383	11282	1058239	120780	12601	NA	1492	13277	116524	1229351	215397	1453421	786591	896501	3030719	8048	7721	35055	305586	44956	57603388	137729	196687	2476109	5187256	938746	68485	32642	5787803	17668047	13557647	4969	15141	26343	1753172	7324	56800	1048740	6220034520	86191	21092224	209964633	1197	14743	5494	476	883906	203828	693	51678653	514655	6220034520	1938311	21271	36396	203926	173	148397	3381	38125	1418701	NA	81566	NA	1865125	NA	218660	15549	NA	NA	405069	446938	553061	137689	25596	18481	180699	849803	55029	245582	715049	11439	13201	23260	743412	11277	128239	16217	150317	5343	29342528	1031098	1127272	22889401	1031585	1207706	921674624	27395	1086780912	7910221	397195688	17439186	53357	698705	135759	86719	10059030	1213289	10176381	418160	200023	92332318	213178	8411	3589447919	8270907	289889753	623537	6662880	2419643	2897740	2142777	7178463
G35894	519361	10797	17934	6267	147497	10760	271083	643806	17742339	12115395	523797	1302960	368326	114218	649095	1026929	13081	434929	2145926	565928	3234	4770105	260063	9982	379	184101	277609	236945	41347	99370	573343	NA	NA	131388	108466201	2467972	310916	118771	67476	703987	238498	410696	2766266	NA	213500	232846	795264	116369	NA	13616724	27944332	2776	36483099	134590	379997	1339624	164570	114392	157677	781893	13996	86904	22159	1268294	51595	7527	NA	1017915	17510	196122	9179184	1307512	1491674	891422	812930	4722304	6151	10764	134642	950093	348706	27776093	80177	125134	3328737	6780197	2670881	7003548	24050	6363072	19955543	15096135	24515	6789830	79239	4308328	778	120621	1703070	23911236329	598326	46394841	305294376	2651	5539	40176	6103	15677447	73408104	8393	72394322	450192	23911236329	3123843	13619	141735	2000	3	90678	NA	15339	117691	NA	463835	NA	NA	NA	10549	NA	NA	NA	193751	11063	185974	66571	NA	1019	105103	566774	NA	252001	24552	11912	21099	138031	542668	5415	258622	671135	21351	2510	42771979	2584964	1481348	39186452	272659	2147593	1050514617	27669	1310905772	9896655	497756221	27037273	210735	818702	127811	51996	12649925	493154	11655421	140181	498597	57466304	334426	6001	2282043985	104217914	141695208	648892	10108668	2055631	4059594	3042358	10507774
G36260	506666	889	3438	2421	668946	1453	432841	466349	22177493	36577	325846	3820537	65556	45185	2127054	3071318	5861	222192	2031304	3585	7719	3691360	424281	4877	532	99739	2036162	1511911	31353	62456	61696	395009	10907	371716	2852473	14185	310461	124533	58128	2168996	119359	589705	1590981	1090	83927	80116	1218082	150433	NA	3396535	28670976	1	27349234	686738	25978	5679209	671669	548311	23784	19105	6562	44050	7435	1952374	2651	38516	NA	19336	142709	210167	2386951	10139	13016882	662631	2193799	5256624	17910	18386	40657	2319428	43209	66415305	228493	431003	4038481	6974679	426842	310909	4135	5657704	19646762	15947607	23875	8983	31347	6339598	6692	11842	1463181	13660744643	222313	57634640	197035051	6168	27525	1007683	1505	562952	818941	6969	46100811	3299740	13660744643	2745439	8837	17350	111060	3	146342	205	11443	9777	31490	149421	15598	1344403	20412	144429	228525	35376	765328	2208622	2608556	546822	754058	171458	297273	84319	768086	186689	149910	96788	60428	8376	385178	837936	11814	750819	748903	163155	22477	534073212	2223356	1224941	26723034	839041	499764	636059640	554462	779822928	5447465	283253218	18859008	105962	598925	461411	452066	7126153	569466	6491344	836335	471139	124560662	224542	63480	727128376	299189611	102472171	459992	2770194	2359095	2510380	1565999	4275485
G36863	526834	1742	14711	5573	252580	2933	608274	950786	19182371	143710	388995	3259323	174616	371931	168866	427860	2963	437626	7382403	36356	15907	9415730	837402	21666	541	623918	85731	64922	14701	40065	89180	NA	NA	222698	81131114	1191	315437	108945	51715	1109420	410214	444162	4328983	3930	579087	113880	657176	167691	12271	6106815	54709720	134	12453783	396404	64565	1617578	156606	81790	294684	86056	21443	367167	17653	1409135	141888	43774	NA	68854	291960	390827	3616908	110936	3545671	1472584	1463740	4328357	19420	21441	156074	1022271	207200	5670439	93909	40168	5124829	9926926	4822900	3993776	28479	7280327	20864665	16257916	118	237676	193640	10524895	15013	15841	1801733	21988587248	674152	41005204	304070991	105096	13920	20427	1329	8470349	9961512	19181	109916452	332298	21988587248	2252144	11867	373688	1317826	55	2192765	186	11697	2790036	10949	971827	646	1246394	NA	147579	7772	NA	86773	203755	558984	200493	166008	86266	105497	55089	641245	28458	218076	114594	NA	12691	195413	1764242	7780	76379	47807	209109	13158	20271283	3418292	1692731	39880600	45424	1601876	1208572826	650609	1510707550	8196943	555184951	46637352	7041	1323711	113424	65955	14606662	1900759	11490535	208477	685120	112595091	317463	1029	1424323492	11027775	207674280	769986	13489662	1717085	5137946	3375399	7875365
G36548	540477	1066	6198	2465	62413	2445	128602	699763	22975065	43161	946583	1351615	420180	246505	4893171	11386487	2785	120871	4732679	1102	3180	3643505	328624	6918	367	140497	2497884	3508107	11095	34503	77282	216168	4883	233994	1962994	141400	286049	122452	58665	12243075	183879	108930	2876065	41258	98567	49067	231735	503900	NA	5602651	30490786	4756	25060845	325475	51561	5561469	2188115	793460	26760	443	8135	366015	28142	1324994	259	388950	NA	11239	2111021	123472	5864406	5267	4406753	863217	2838594	4231267	55853	14738	18232	3969090	47184	47831205	473509	341357	1987242	4156381	34914	675456	11409	2956108	19914069	16893668	2880	58974105	120414	20024254	12068	50055	2281283	17183929614	120285	63753145	89122492	293241	4004	78007	262	5872862	1306162	17854	11119276	427539	17183929614	1653184	75124	9174	208631	6927	559402	20235	36070	450539	74931	163030	36095	549522	7561	115269	56408	11138	194784	726523	413280	377376	441376	62575	158130	205853	402715	36072	1183010	18488	15052	9700	711546	375155	8910	1206028	73325	315670	7758	55784579	4232410	470740	18965816	84857	971275	277170664	495218	367331063	3402137	158093621	12500739	36516	211109	130140	26170	3536307	1269975	20764718	217065	854330	89980990	110786	1813	320029647	147609499	70893551	233298	4326767	2029170	1207702	955857	3494088
G36263	545102	673	4747	1333	154635	1814	112005	620664	24506695	23982	211413	1075997	50133	236832	135990	515182	7173	3082	4664406	3609	3404	6329900	298552	9508	310	197632	119229	132493	18587	5189	103347	568682	1463	326504	992521	NA	310335	123365	65008	1418012	157067	107116	4488272	117	183156	165338	236516	419589	7947	3930659	44973480	5	16718703	123964	59426	1518488	100710	42081	53974	7706	8272	105550	28862	997374	3554	80240	NA	4275	21542	111278	1809958	21855	1031185	721682	8467972	5320119	51932	7724	35056	640622	51363	90721495	104497	106413	2576337	4413242	1614186	252982	18420	5110271	18666063	15784919	17008	16238	60441	7686607	11632	124130	2301487	12040554322	190698	37730342	152923375	4615	5500	14903	923	668624	1976079	1203	57336313	990272	12040554322	2137961	39311	17524	248844	22238	381376	20497	34465	40949	310244	186984	15954	10803391	9043	529853	38790	8201	244980	436676	726530	315579	137005	55556	55563	41558	1108089	29919	175086	404932	5675	18307	31881	729790	24928	226699	46058	407506	10293	16362414	1135987	976935	17870204	403414	753021	688707400	29316	838416157	4502622	292986968	13479148	218637	441539	130592	65222	7507054	260092	7380412	396692	209996	75891559	164215	13458	1544102235	104854337	153559171	440883	6050561	2626814	2667481	1631384	5586890
G35936	472929	737	3564	1668	186900	1122	180489	358519	5298833	24820931	1159094	3490989	306338	487530	90792	110317	90283	81853	11655974	2477699	15976	7399374	555744	11906	NA	131536	97773	59641	42990	21183	489701	1213680	NA	12459	25634134	7163301	316620	136826	55834	3270718	169906	1835738	3127392	83	258678	163048	3574679	143470	NA	33876129	6155893	667	18516082	125302	111063	3004263	46198	44111	420440	21713	33527	608078	50781	948493	167444	61920	NA	1087	47706	2907338	3241316	10002525	1629154	972241	1246054	6543772	31793	7823	89163	1146997	63554	9741757	136206	36472	4394959	8004144	3911601	1932664	36897	5891218	20236286	16682608	885	11920930	275041	14475672	2378	115079	810273	8471130711	640731	51158719	503804011	99693	4837	287360	NA	8860779	1934789	8865	4318715	599611	8471130711	771195	57411	27181	33872	2806	287948	6742	622946	75022	7537	1276208	NA	6205	NA	NA	NA	NA	NA	40801	NA	168805	74623	6801	9571	9028	1402974	60564	198928	392989	3404	34214	33925	1317752	10676	481954	378449	777683	2248	7475495	2986793	1681534	38464908	438118	2281944	895519346	332018	1211636481	8657070	474351834	27768734	18847	563464	224284	65393	12034035	349235	11552488	145139	604197	12279781	281600	NA	1410293350	51587280	179251048	673932	4570259	2204611	3809419	2592333	10538175
G35881	522513	1162	5892	4105	155776	2488	201068	407077	8130726	22138406	220684	1849335	35581	281747	4799912	12895185	62237	1601835	5541737	1699658	7315	6512006	450258	11812	344	429065	278550	7651541	1844680	176055	312093	5151649	3138	375590	56930171	43755421	312901	120835	63757	711870	193318	5285190	3928421	2162	751969	670419	3158440	208843	NA	30515851	16511960	7	27852196	631379	122479	3928334	1523575	797597	310316	614862	100094	47510	15313	726436	125698	7342	1271	579535	134758	344299	3431406	6429298	3450210	519346	379605	2251403	13063	18755	363999	265618	137081	4686896	778624	328213	3637154	8424704	4135013	8158643	36621	5325642	20355524	17796976	18160	16413371	223240	1427521	3081	169003	611624	17690746739	1415846	24604360	297532458	43155	13507	5102	607	6869189	270508	7463	3622421	519046	17690746739	1718036	15377	337185	412843	183	1393084	389	23285	19202	NA	659996	1423	1313793	11680	NA	39103	24514	95423	314790	567980	649379	162945	55676	115630	430159	320837	53464	247191	100949	6139	30587	33475	469838	4340	37961	92760	49252	6233	78981687	2237112	1290658	29666424	3542665	814366	889933526	413914	1169076452	6142395	409880941	42265232	12482	659424	127145	17788	11234308	1050845	10865353	38032	423612	7049131	222977	2775	239457275	895653853	356648193	231329	17100516	1869332	3447094	2196017	4048607
G36304	543656	667	2544	1685	23192	1398	49109	392777	14175108	21531533	537296	313477	53100	4189326	210783	389071	44628	355480	8001826	2022893	4925	4172061	358410	14935	144	150337	69686	52241	17926	25434	686698	3924297	NA	232117	126525014	4304367	334353	127122	53855	3405515	261037	800634	1625806	4243	510578	255468	707637	116161	NA	33660697	34738703	NA	20397178	501071	6519	1851804	90274	102237	48414	86341	16754	366965	17043	2881034	186771	42228	NA	43619	207760	104461	1771101	8845456	7291408	853299	834303	4479527	19372	16559	242677	1275445	215959	5391407	81891	24198	7697135	11958645	1779315	1135299	13330	9542143	18983834	17794899	2262	16376	215930	5752025	1052	44774	268110	3789401332	405893	5338063	243851561	44248	14859	121	4691	3269384	61814	27840	8025456	922195	3789401332	964963	122234	20159	20000	NA	21279	NA	30178	14410	1200426	844080	NA	2431335	NA	NA	NA	NA	NA	2589	NA	114410	848	NA	NA	199324	590579	NA	255129	19741	659	8507	30989	1222369	10041	85573	37708	93029	8254	15689502	3738735	1073279	32040126	28031	1128479	886737491	386389	1040510810	5871356	380672586	33286659	52397	546480	45089	105101	8846438	1360808	8281011	41214	710879	46693872	272178	58	67376072	5803532	102540606	546858	11655682	2415291	2481733	1903946	5113450
G36310	550270	661	2741	1297	119127	2107	109001	314199	18548805	48196	175860	1091464	58828	193346	33265	171497	2993	84290	6799179	5587	6473	4772660	535632	12132	325	264275	129637	1060154	13913	155004	19488	NA	NA	170075	73497392	NA	328945	138097	64208	616244	199667	187459	4754558	15381	108989	157007	328752	196799	NA	5072871	45784932	5406	27006416	171339	70490	9161294	89979	20500	99722	48132	11761	247690	20952	2049412	4115	109462	NA	96873	192244	124346	2261573	2417	2252818	769718	666447	4637664	18059	7490	15056	387659	32476	79788828	447714	63604	4581608	8040619	536408	1960098	46450	6701765	18397607	15925036	8474	244949	129372	4836276	11304	35976	1081623	21134572391	313470	58728379	155088608	29220	3995	30571	84	5413786	15987985	12580	43877809	458421	21134572391	1728784	9987	19759	505692	NA	70847	NA	12007	45464	NA	138603	NA	797264	253	NA	34952	NA	NA	324324	50461	199978	156273	14166	52201	55558	899650	26880	140237	20681	NA	8443	95923	1050466	1249	185718	722982	113500	5941	17597146	1967639	1017585	21612695	93026	939199	648309652	354958	820033557	3348600	306396814	15060442	283947	365726	87493	25167	7294120	84545	5813009	129132	382451	87331001	184767	NA	214078148	491092493	138943545	375833	7225418	1696143	2285045	1588876	5021317
G36294	533171	2312	6740	3991	343424	4085	172885	2426793	19776202	48184	2404020	4880404	637120	421480	27090	61888	2978	24991	5691865	2345	6729	5509104	490923	7844	365	546456	290520	277342	31466	34572	43637	NA	87244	159723	25069179	NA	301607	136178	39989	16727382	137596	216998	2782747	46455	95686	718224	81147	343358	100755	4571490	18703437	4879	25725287	317086	96113	10715853	22912	4652	33296	2982	16333	3518839	16848	1512146	4383	1767468	NA	NA	1489382	7898881	3947374	NA	5232045	329529	135425	1458827	28768	12028	8808	2517006	13180	1554532	186244	114186	2436465	4086558	322851	119162	40879	2798118	19317402	16482405	10317	NA	376746	3573059	4328	16809	1714628	4481923061	192918	93202584	170798255	211126	13531	NA	2986	1937474	964537	5120	4811226	4301635	4481923061	6714472	447347	2941128	50660	24165	2450431	39503	197602	21461	849967	312462	262348	2454746	762854	9251030	810611	576218	13117499	4022403	2639050	1089482	2719973	214110	940636	36794	1368107	444496	11511	162229	5661	60898	384619	507850	19330	5489393	3240418	1334980	7170	248558144	1011105	512450	16686771	519112	698456	286496296	1446994	382654023	2514357	127390066	16219258	275675	302852	118179	36942	3300817	201630	22134542	414839	196487	57961227	129441	386	106246793	1042874612	114850089	318847	4107602	977695	1584470	604696	5065667
G36302	451776	2962	21225	7408	50053	6019	251860	2318829	22756022	48215	1987897	745588	487406	136630	466179	1458373	208	1902	2732681	215	11786	4166210	650844	4821	219	265735	2823145	15833325	25240	10775	29196	NA	286350	123803	1156116	NA	243819	121421	65425	5513192	40980	351528	1282483	102842	30942	292975	625508	257950	129951	4322570	24937465	2	19062488	384736	52103	4704652	120232	75843	14671	127021	2725	471861	10352	713192	2129	36395	NA	550300	3785607	576797	4604752	NA	7985294	393498	10167226	3606322	12925	18693	11444	6419002	13330	5027013	1269432	282640	3006178	5020411	292680	1471619	4531	2200928	21089135	17924041	9636	79190542	18991	6305717	2060	NA	1777559	10086035952	89537	253619444	404331009	21976	5999	75052	NA	10171284	897019	4823	6529921	603314	10086035952	3448756	171060	7399	343681	1610895	49796286	2213466	12645784	50939	6276676	1346425	1208147	12132844	3551809	28734053	2474017	1942298	59326875	8724640	4073622	1058223	9881928	311362	4685737	115459	1404094	347691	185558	42225	34358	13832	1036840	243717	5209	8350155	13584522	47251	2255	50293442	3984765	931444	13383110	146272	5375848	589577914	978258	830918936	1744646	337709215	20808897	986370	747965	220453	79544	8757319	151780	29114866	265923	832799	63884741	127339	NA	1380165593	1267672998	92162404	233314	5627687	1709887	1051215	1890481	3878807
